#################################
# Created By PDB2CD             #
# 2017/03/06 14:09:31           #
# Version 1.0                   #
# Author: Dr. Lazaros Mavridis  #
# E-mail: l.mavridis@qmul.ac.uk #
#################################

Data for the run: 3izo
----------

Wavelength	CD
175	-2.065
176	-1.974
177	-1.929
178	-1.830
179	-1.650
180	-1.455
181	-1.202
182	-0.935
183	-0.663
184	-0.381
185	-0.144
186	0.033
187	0.158
188	0.217
189	0.250
190	0.244
191	0.196
192	0.089
193	-0.094
194	-0.329
195	-0.612
196	-0.954
197	-1.320
198	-1.718
199	-2.119
200	-2.474
201	-2.749
202	-2.937
203	-3.005
204	-2.997
205	-2.929
206	-2.807
207	-2.662
208	-2.530
209	-2.393
210	-2.268
211	-2.177
212	-2.089
213	-2.040
214	-2.014
215	-2.004
216	-2.008
217	-2.026
218	-2.030
219	-2.027
220	-2.004
221	-1.970
222	-1.924
223	-1.858
224	-1.771
225	-1.675
226	-1.558
227	-1.445
228	-1.323
229	-1.205
230	-1.075
231	-0.940
232	-0.803
233	-0.669
234	-0.542
235	-0.437
236	-0.340
237	-0.263
238	-0.203
239	-0.155
240	-0.123
